GRPO DocEntry,Document Number,Series,Customer/Supplier No.,Customer/Supplier Name,Contact Person,Supplier Ref No,Currency Type Header,Currency Type Line,Posting Date,Due Date,Document Date,Document Type,GSTTransactionType,Document Number.1,Row Number,Item No.,Item Description,Quantity,Price,WarehouseCode,CostingCode,Tax Code,ProjectCode,WTax Liable,Discount %,HSN/SAC,GL Account,Delivery Date,GRIN No,GRN Date,Tax Category,Total Before Discount FC,Total Before Discount,Discount,Total DP,Freight FC,Freight,Rounding,Tax,WTax Amt,Total Payment Due FC,Tax amount FC,Total Paymt Due,Landed Cost DocNum,Landed Cost DocDate,Landed Cost DocEntry
8405,24351317,622,GLD30375,SDM INTERIORS,,SDM/GLD/B/269/24-25,INR,INR,2025-01-17,2025-01-17,2025-01-17,S,GA,24351317,,,Supply and installation of blackout roller blinds. colour code EB-03. In store 2nos windowes done.,0,9600.0,,,CSGST18,,Y,0,997145,42312,,,,,0.0,9600.0,0,0,0,0,0,1728.0,0,0.0,1728.0,11328.0,,,
8443,24351355,622,GLD30069,AMI Metals UK Ltd,Lee Turner,NJ IV-277896,USD,USD,2025-01-30,2025-01-30,2025-01-30,I,--,24351355,,GR03-000120-D00-000,AL7075-T0 ALCLAD QQ-A-250/13THK-0.063X48X72INCH,4,111.84,BLR,,IGST0,,N,0,84.87.9000,222601,,,,,447.36,38736.9,0,0,0,0,0,0.0,0,2143.94,0.0,185643.77,,,
8443,24351355,622,GLD30069,AMI Metals UK Ltd,Lee Turner,NJ IV-277896,USD,USD,2025-01-30,2025-01-30,2025-01-30,I,--,24351355,1.0,GR03-000121-D00-000,AL7075-T6 ALCLAD AMS4049 THK-0.063X48X72INCH,2,112.5,BLR,,IGST0,,N,0,76.10.9030,222601,,,,,225.0,19482.75,0,0,0,0,0,0.0,0,2143.94,0.0,185643.77,,,
8443,24351355,622,GLD30069,AMI Metals UK Ltd,Lee Turner,NJ IV-277896,USD,USD,2025-01-30,2025-01-30,2025-01-30,I,--,24351355,2.0,GR03-000124-D00-000,AL7075-T0ALCLADQQ-A-250/13THK-0.04X48X72INCH,4,74.82,BLR,,IGST0,,N,0,84.87.9000,222601,,,,,299.28,25914.66,0,0,0,0,0,0.0,0,2143.94,0.0,185643.77,,,
8443,24351355,622,GLD30069,AMI Metals UK Ltd,Lee Turner,NJ IV-277896,USD,USD,2025-01-30,2025-01-30,2025-01-30,I,--,24351355,3.0,GR03-000118-D00-000,AL7075-T0ALCLAD QQ-A-250/13THK-0.050X48X72,2,96.15,BLR,,IGST0,,N,0,76.10.9030,222601,,,,,192.3,16651.26,0,0,0,0,0,0.0,0,2143.94,0.0,185643.77,,,
8443,24351355,622,GLD30069,AMI Metals UK Ltd,Lee Turner,NJ IV-277896,USD,USD,2025-01-30,2025-01-30,2025-01-30,I,--,24351355,4.0,GR03-000119-D00-000,AL7075-T6ALCLADQQ-A-250/13THK-0.05X48X72,2,202.0,BLR,,IGST0,,N,0,76.10.9030,222101,,,,,404.0,34982.36,0,0,0,0,0,0.0,0,2143.94,0.0,185643.77,,,
8443,24351355,622,GLD30069,AMI Metals UK Ltd,Lee Turner,NJ IV-277896,USD,USD,2025-01-30,2025-01-30,2025-01-30,I,--,24351355,5.0,GR03-000141-D00-000,AL 7075 T6 ALCLAD QQ-A-250/13 THK 0.071 X 48 X 72 INCH,2,288.0,BLR,,IGST0,,N,0,84.87.9000,222601,,,,,576.0,49875.84,0,0,0,0,0,0.0,0,2143.94,0.0,185643.77,,,
8456,24351368,622,GLD30860,3S Products And Services,,24253367,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351368,,FAB 13606-25-01,FABRICATED ENCLOSURE MAK1.2m,5,631.0,BLR,,CSGST18,,Y,0,84.87.9000,222401,,,,,0.0,3155.0,0,0,0,0,0,721.8,0,0.0,721.8,4731.8,,,
8456,24351368,622,GLD30860,3S Products And Services,,24253367,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351368,1.0,FAB 13606-25-02,FABRICATED FRONT PLATE MAK1.2m,5,171.0,BLR,,CSGST18,,Y,0,84.87.9000,222401,,,,,0.0,855.0,0,0,0,0,0,721.8,0,0.0,721.8,4731.8,,,
8457,24351369,622,GLD30634,HILINE MAAT COMPONENTS PRIVATE LIMITED,,HL/U2/0121/24-25,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351369,,SC001,SubContract Item,80,300.0,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,,,,,0.0,24000.0,0,0,0,0,0,4406.4,0,0.0,4406.4,41126.4,,,
8457,24351369,622,GLD30634,HILINE MAAT COMPONENTS PRIVATE LIMITED,,HL/U2/0121/24-25,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351369,1.0,SC001,SubContract Item,72,30.0,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,,,,,0.0,2160.0,0,0,0,0,0,4406.4,0,0.0,4406.4,41126.4,,,
8457,24351369,622,GLD30634,HILINE MAAT COMPONENTS PRIVATE LIMITED,,HL/U2/0121/24-25,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351369,2.0,SC001,SubContract Item,78,20.0,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,,,,,0.0,1560.0,0,0,0,0,0,4406.4,0,0.0,4406.4,41126.4,,,
8457,24351369,622,GLD30634,HILINE MAAT COMPONENTS PRIVATE LIMITED,,HL/U2/0121/24-25,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351369,3.0,SC001,SubContract Item,100,90.0,QUALITY,,CSGST12,,Y,0,84.87.9000,132210,,,,,0.0,9000.0,0,0,0,0,0,4406.4,0,0.0,4406.4,41126.4,,,
8458,24351370,622,GLD30854,ALPHA CNCTECH PVT. LTD.,,ACPL/24-25/113,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351370,,MCND 2001 331 401,BATTERY PLATE MCND,26,730.0,BLR,,CSGST18,,N,0,84.87.9000,222601,,,,,0.0,18980.0,0,0,0,0,0,3416.4,0,0.0,3416.4,22396.4,,,
8459,24351371,622,GLD30968,ACTIVE ENTERPRISES,,AE000541/1,INR,INR,2025-01-31,2025-01-31,2025-01-31,I,GA,24351371,,SC001,SubContract Item,100,6.0,QUALITY,,CSGST18,,N,0,84.87.9000,132210,,,,,0.0,600.0,0,0,0,0,0,108.0,0,0.0,108.0,708.0,,,
8460,24351372,622,GLD30968,ACTIVE ENTERPRISES,,AE000541/2,INR,INR,2025-01-31,2025-01-31,2025-01-31,S,GA,24351372,,,SP MECH27354A - MECH27354A SP (SCREEN MAKING CHARGES),0,500.0,,,CSGST18,,N,0,997145,411216,,,,,0.0,500.0,0,0,0,0,0,90.0,0,0.0,90.0,590.0,,,
8466,24351378,622,GLD30580,Dekshi Water Supply,,542/jan-24-25,INR,INR,2025-02-04,2025-02-04,2025-02-04,S,--,24351378,,,WATER BILL (Jan-2024-25),0,12000.0,,,,,N,0,997145,42312,,,,,0.0,12000.0,0,0,0,0,0,0.0,0,0.0,0.0,12000.0,,,
8467,24351379,622,GLD30563,GAGAN TRANSPORTATION SERVICES,,211/GTS,INR,INR,2025-02-04,2025-02-04,2025-02-04,S,--,24351379,1.0,,Transporation charges,0,3300.0,,S&M,CSGST0,,Y,0,997145,411232,,,,,0.0,3300.0,0,0,0,0,0,0.0,0,0.0,0.0,3300.0,,,
