GRPO DocEntry,Document Number,Series,Customer/Supplier No.,Customer/Supplier Name,Contact Person,Supplier Ref No,Currency Type Header,Currency Type Line,Ship from,Posting Date,Due Date,Document Date,Document Type,Remarks,GSTTransactionType,Document Number.1,Row Number,Item No.,Item Description,Quantity,Price,WarehouseCode,CostingCode,Tax Code,ProjectCode,Wtax liable,Discount %,HSN/SAC,GL Account,Delivery Date,GRIN No,GRN Date,Tax Category,Total Before DisCount FC,Total Before Discount,DisCount,Total DP,Freight FC,Freight,Rounding,Tax,Wtax Amt,Total Payment Due FC,Tax amount FC,Total Paymt Due,Landed Cost DocNum,Landed Cost DocDate,Landed Cost DocEntry
5227,1057,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,9520202901,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 448.,GST Tax Invoice,,,7A1LTGF24UYE,Fiber Optic cable 24F 24 core G.657A1 Loose tube Gel-free Cable LSZH Yellow,750,79.9,3PLTFGWH,,CSGST18,,Yes,0,90.01.1000,_SYS00000000100,,,,,0,205625.0,,242637.5,0,0,0,10786.5,,0,,242637.5,,,
5227,1057,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,9520202901,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 448.,GST Tax Invoice,,1.0,FXUCXXBXXX-01BH,AFLHS U-Series 1RU Housing 5 Cassettes Black (Front Door -Rear Mgt),5,10340.0,3PLTFGWH,,CSGST18,,Yes,0,85.36.7000,_SYS00000000100,,,,,0,205625.0,,242637.5,0,0,0,9306.0,,0,,242637.5,,,
5227,1057,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,9520202901,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 448.,GST Tax Invoice,,2.0,A7UD12BPAX-11AK,AFL U-Series Splice Cassette Clear Lid BK Premium LC SM G.657A1 12F (EZ Pigtails),16,5875.0,3PLTFGWH,,CSGST18,,Yes,0,85.36.7000,_SYS00000000100,,,,,0,205625.0,,242637.5,0,0,0,16920.0,,0,,242637.5,,,
5228,1058,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,9500702908,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 448.,GST Tax Invoice,,,FXSDXXXXXX-10ZZ,144-Fibre Breakout Manifold Kit Including 7mm Conduit and Accessories,5,12690.0,AFLFGWH,,CSGST18,,Yes,0,73.26.9099,_SYS00000000100,,,,,0,177343.75,,209265.63,0,0,0,11421.0,,0,,209265.63,,,
5228,1058,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,9500702908,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 448.,GST Tax Invoice,,1.0,UPC5115433010N,"AFL HS CAT6A UTP Moulding Snag Less Patch Cord 24AWG, LSZH Blue-10M",15,668.25,AFLFGWH,,CSGST18,,Yes,0,85.44.4291,_SYS00000000100,,,,,0,177343.75,,209265.63,0,0,0,1804.28,,0,,209265.63,,,
5228,1058,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,9500702908,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 448.,GST Tax Invoice,,2.0,FG-00075-001,"24F, 1U, LC SM OS2 , Loaded with Pigtails, Splice tray, adapter  splice protectors",10,10387.0,AFLFGWH,,CSGST18,,Yes,0,85.17.7090,_SYS00000000100,,,,,0,177343.75,,209265.63,0,0,0,18696.6,,0,,209265.63,,,
5229,1059,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 571.,GST Tax Invoice,,,AF1A0008L0D07-010M,LWLS 8F SM LSZH YLW MC 7A1 LC Uni LC Uni QSFP 010M,21,3586.01,AFLFGWH,,CSGST18,,Yes,0,85.44.7090,_SYS00000000100,,,,,0,1823371.32,,2151578.16,0,0,0,13555.12,,0,,2151578.16,,,
5229,1059,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,abc,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 571.,GST Tax Invoice,,1.0,AF1A0008L0D07-012M,LWLS 8F SM LSZH YLW MC 7A1 LC Uni LC Uni QSFP 012M,28,3679.42,AFLFGWH,,CSGST18,,Yes,0,85.44.7090,_SYS00000000100,,,,,0,1823371.32,,2151578.16,0,0,0,18544.28,,0,,2151578.16,,,
5229,1059,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 571.,GST Tax Invoice,,2.0,AF1A0008L0D07-014M,LWLS 8F SM LSZH YLW MC 7A1 LC Uni LC Uni QSFP 014M,55,3772.84,AFLFGWH,,CSGST18,,Yes,0,85.44.7090,_SYS00000000100,,,,,0,1823371.32,,2151578.16,0,0,0,37351.12,,0,,2151578.16,,,
5229,1059,FY2024,400048,AVIRATA DEFENCE SYSTEMS LIMITED,,,INR,INR,AVIRATA DEFENCE SYSTEMS LIMITED,2025-12-02,2025-12-02,2025-12-02,Item,Based On Purchase Orders 571.,GST Tax Invoice,,3.0,AF1A0008L0D07-016M,LWLS 8F SM LSZH YLW MC 7A1 LC Uni LC Uni QSFP 016M,75,3866.26,AFLFGWH,,CSGST18,,Yes,0,85.44.7090,_SYS00000000100,,,,,0,1823371.32,,2151578.16,0,0,0,52194.51,,0,,2151578.16,,,
