GRPO DocEntry,Document Number,Series,Customer/Supplier No.,Customer/Supplier Name,Contact Person,Supplier Ref No,Currency Type,Posting Date,Due Date,Document Date,Document Type,GSTTransactionType,Document Number.1,Row Number,Item No.,Item Description,Quantity,Price,WarehouseCode,CostingCode,Tax Code,ProjectCode,WTax Liable,Discount %,HSN/SAC,GL Account,Total Before Discount FC,Total Before Discount,Discount,Total DP,Freight FC,Freight,Rounding,Tax,WTax Amt,Total Payment Due FC,Tax amount FC,Total Paymt Due
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,2.0,GS09-000067-000-000,CLS-440-1,900,4.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,4050.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,3.0,GS39-000016-000-000,FEX-440,2020,16.5,BLR,,CSGST18,,N,0,84.87.9000,222101,0.0,33330.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,4.0,GS54-000020-000-000,PEM BS-440-2,1500,25.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,38250.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,5.0,GS50-000003-000-000,SOS-440-8,980,14.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,14210.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,6.0,GS65-000019-000-000,TSOS-256-250,810,12.5,BLR,,CSGST18,,N,0,73.18.1590,222101,0.0,10125.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,7.0,GS09-000093-000-000,FEOX-440-N,4200,19.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,81900.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,8.0,GS54-000020-000-000,PEM BS-440-2,800,25.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,20400.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,9.0,GS42-000313-000-000,PEM BSOS-6440-32,610,26.5,BLR,,CSGST18,,N,0,84.87.9000,222301,0.0,16165.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,10.0,GS40-000015-000-000,PEM BSOS-440-12,500,15.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,7750.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,11.0,GS55-000026-000-000,PEM FHS-440-5,1000,7.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,7500.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,12.0,GS39-000031-000-000,PEM F-M3-1,250,9.5,BLR,,CSGST18,,N,0,84.87.9000,222601,0.0,2375.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8397,24351309,622,GLD30303,KAPASI INC,,4280/2024-25,INR,2025-01-15,2025-01-15,2025-01-15,I,GA,24351309,13.0,GS65-000014-000-000,SOS-440-4,1000,14.5,BLR,,CSGST18,,N,0,84.87.9000,222101,0.0,14500.0,0,0,0,0.0,0,52682.4,0,0.0,52682.4,345362.4
8399,24351311,622,GLD30860,3S Products And Services,,24253285,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351311,,CCC MECH27302C,CCC MECH26315A EOD CAP-12.5 x2 VER CLAMP,80,875.0,BLR,,CSGST18,,Y,0,84.87.9000,222601,0.0,70000.0,0,0,0,0.0,0,25082.64,0,0.0,25082.64,164430.64
8399,24351311,622,GLD30860,3S Products And Services,,24253285,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351311,1.0,ALODINE MECH27359A,MECH27359A ALODINE,72,93.0,BLR,,CSGST18,,Y,0,84.87.9000,222601,0.0,6696.0,0,0,0,0.0,0,25082.64,0,0.0,25082.64,164430.64
8399,24351311,622,GLD30860,3S Products And Services,,24253285,INR,2025-01-16,2025-01-16,2025-01-16,I,GA,24351311,2.0,MECH10011B,Switch guard - Big + safety [Switch guards],78,34.0,BLR,,CSGST18,,Y,0,84.87.9000,222601,0.0,2652.0,0,0,0,0.0,0,25082.64,0,0.0,25082.64,164430.64
